participant_id,participant_code,cohort_id,age_band,employment_status_at_entry,education_level_at_entry,referral_source,completion_status,enrollment_date,created_at,updated_at,is_active,data_source
28,PRT-2727272727,173,16-17,Unemployed,Level 2,Self-Referral,Transferred,2024-06-29,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
29,PRT-2828282828,193,16-17,Unemployed,No Qualifications,Local Authority,In Progress,2024-09-30,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
30,PRT-2929292929,652,18-19,Unemployed,Level 3+,Partner Organisation,Transferred,2025-10-01,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
31,PRT-3030303030,131,20-21,Student,Level 1,Job Centre,In Progress,2024-01-02,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
32,PRT-3131313131,406,18-19,Unemployed,Level 2,Job Centre,Early Leaver,2024-07-03,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
33,PRT-3232323232,154,18-19,Student,Entry Level,Job Centre,Early Leaver,2024-01-04,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
34,PRT-3333333333,597,20-21,Unemployed,No Qualifications,Local Authority,Completed,2023-04-05,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
35,PRT-3434343434,1164,20-21,Economically Inactive,Level 2,Partner Organisation,Completed,2024-07-06,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
36,PRT-3535353535,150,25+,Economically Inactive,Level 1,Partner Organisation,Completed,2023-10-07,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
37,PRT-3636363636,505,18-19,Economically Inactive,Level 1,Local Authority,Completed,2024-07-08,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
38,PRT-3737373737,654,16-17,Unemployed,Entry Level,Job Centre,Early Leaver,2023-04-09,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
39,PRT-3838383838,580,25+,Part-time Employed,Level 1,Partner Organisation,In Progress,2024-01-10,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
40,PRT-3939393939,476,20-21,Economically Inactive,Level 2,Job Centre,Early Leaver,2024-04-11,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
41,PRT-4040404040,65,20-21,Part-time Employed,Level 3+,Job Centre,Completed,2024-07-12,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
42,PRT-4141414141,833,25+,Unemployed,Entry Level,School/College,Completed,2025-07-13,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
43,PRT-4242424242,460,18-19,Unemployed,Entry Level,Partner Organisation,In Progress,2024-01-14,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
44,PRT-4343434343,585,16-17,Unemployed,Level 2,Partner Organisation,In Progress,2025-01-15,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
45,PRT-4444444444,288,20-21,Unemployed,Level 2,School/College,Early Leaver,2024-06-24,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
46,PRT-4545454545,457,16-17,Economically Inactive,Level 1,Other,Early Leaver,2025-03-26,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
47,PRT-4646464646,446,16-17,Unemployed,Level 3+,Job Centre,Completed,2025-06-26,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
48,PRT-4747474747,86,16-17,Unemployed,Level 1,Self-Referral,Transferred,2024-06-27,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
49,PRT-4848484848,814,22-24,Economically Inactive,Level 1,Partner Organisation,Early Leaver,2023-06-28,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
50,PRT-4949494949,47,18-19,Student,Entry Level,Job Centre,Completed,2024-06-29,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
51,PRT-5050505050,1030,20-21,Economically Inactive,Level 1,School/College,In Progress,2024-03-31,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
52,PRT-5151515151,1171,22-24,Economically Inactive,No Qualifications,Self-Referral,In Progress,2025-07-01,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
53,PRT-5252525252,172,20-21,Economically Inactive,Level 2,School/College,Completed,2024-07-02,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
54,PRT-5353535353,797,25+,Unemployed,Level 3+,Self-Referral,Early Leaver,2025-04-03,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
55,PRT-5454545454,717,25+,Economically Inactive,No Qualifications,School/College,Completed,2024-04-04,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
56,PRT-5555555555,495,25+,Unemployed,Level 3+,Job Centre,Completed,2024-04-05,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
57,PRT-5656565656,1060,18-19,Unemployed,Entry Level,Local Authority,Transferred,2025-04-06,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
58,PRT-5757575757,795,20-21,Unemployed,Level 1,Self-Referral,Early Leaver,2023-10-07,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
59,PRT-5858585858,1042,16-17,Part-time Employed,Level 1,Other,Early Leaver,2025-04-08,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
60,PRT-5959595959,651,16-17,Unemployed,No Qualifications,Self-Referral,Completed,2025-07-09,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
61,PRT-6060606060,1091,25+,Economically Inactive,Level 1,Self-Referral,Completed,2024-04-10,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
62,PRT-6161616161,752,18-19,Part-time Employed,Level 2,Partner Organisation,In Progress,2023-04-11,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
63,PRT-6262626262,1008,25+,Unemployed,Entry Level,Local Authority,Completed,2023-04-12,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
64,PRT-6363636363,698,16-17,Unemployed,Entry Level,Job Centre,Completed,2024-01-13,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
65,PRT-6464646464,87,20-21,Unemployed,Level 2,School/College,Completed,2025-10-14,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
66,PRT-6565656565,442,25+,Unemployed,Level 1,Self-Referral,Completed,2024-04-15,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
67,PRT-6666666666,408,20-21,Unemployed,Level 3+,Self-Referral,In Progress,2024-12-25,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
68,PRT-6767676767,888,18-19,Economically Inactive,Level 1,Partner Organisation,In Progress,2024-09-25,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
69,PRT-6868686868,134,20-21,Unemployed,No Qualifications,Partner Organisation,Completed,2024-03-27,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
70,PRT-6969696969,956,16-17,Economically Inactive,Entry Level,Job Centre,Completed,2023-03-28,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
71,PRT-7070707070,957,18-19,Unemployed,No Qualifications,Partner Organisation,Early Leaver,2024-06-28,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
72,PRT-7171717171,17,16-17,Economically Inactive,No Qualifications,Self-Referral,Completed,2024-06-29,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
73,PRT-7272727272,379,25+,Economically Inactive,Level 2,Self-Referral,Completed,2025-03-31,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
74,PRT-7373737373,1119,20-21,Student,Level 1,School/College,Early Leaver,2025-10-01,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
75,PRT-7474747474,867,20-21,Economically Inactive,No Qualifications,School/College,Completed,2024-10-02,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
76,PRT-7575757575,563,22-24,Unemployed,Entry Level,Job Centre,Completed,2024-07-03,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
77,PRT-7676767676,323,18-19,Part-time Employed,Level 2,Partner Organisation,Completed,2024-04-04,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
78,PRT-7777777777,771,18-19,Unemployed,Level 1,Job Centre,Completed,2024-01-05,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
79,PRT-7878787878,626,16-17,Unemployed,Level 1,Job Centre,Completed,2023-10-06,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
80,PRT-7979797979,920,18-19,Student,Level 2,Partner Organisation,Early Leaver,2025-04-07,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
81,PRT-8080808080,953,16-17,Student,Entry Level,Self-Referral,Early Leaver,2023-07-08,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
82,PRT-8181818181,605,18-19,Unemployed,Entry Level,Job Centre,In Progress,2023-04-09,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
83,PRT-8282828282,1031,16-17,Economically Inactive,Level 3+,Partner Organisation,Early Leaver,2024-04-10,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
84,PRT-8383838383,818,20-21,Unemployed,Entry Level,School/College,Completed,2024-04-11,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
85,PRT-8484848484,670,20-21,Unemployed,Level 1,Local Authority,Completed,2023-01-12,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
86,PRT-8585858585,151,20-21,Economically Inactive,Level 2,Self-Referral,Completed,2023-10-13,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
87,PRT-8686868686,229,16-17,Unemployed,Entry Level,Job Centre,Completed,2023-04-14,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
88,PRT-8787878787,40,25+,Unemployed,Level 2,Self-Referral,Completed,2024-07-15,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
89,PRT-8888888888,1145,16-17,Unemployed,No Qualifications,Self-Referral,Early Leaver,2023-03-25,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
90,PRT-8989898989,1050,18-19,Unemployed,Level 1,Partner Organisation,Completed,2024-09-25,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
91,PRT-9090909090,339,20-21,Unemployed,Level 3+,Job Centre,Early Leaver,2024-03-27,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
92,PRT-9191919191,326,16-17,Unemployed,No Qualifications,Job Centre,In Progress,2025-09-27,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
93,PRT-9292929292,38,25+,Part-time Employed,Level 1,Job Centre,In Progress,2024-06-28,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
94,PRT-9393939393,632,18-19,Economically Inactive,Level 3+,Job Centre,In Progress,2024-03-30,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
95,PRT-9494949494,1030,18-19,Economically Inactive,Entry Level,School/College,Completed,2024-03-31,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
96,PRT-9595959595,910,22-24,Economically Inactive,Level 3+,Partner Organisation,Completed,2023-07-01,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
97,PRT-9696969696,465,22-24,Unemployed,Entry Level,Local Authority,Early Leaver,2025-10-02,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
98,PRT-9797979797,269,16-17,Unemployed,Entry Level,School/College,Early Leaver,2025-07-03,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
99,PRT-9898989898,694,25+,Student,Level 2,School/College,Completed,2024-04-04,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
100,PRT-9999999999,94,16-17,Part-time Employed,Entry Level,Self-Referral,In Progress,2025-07-05,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
101,PRT-100100100100100,341,25+,Unemployed,Level 2,Self-Referral,Completed,2024-07-06,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
102,PRT-101101101101101,246,18-19,Economically Inactive,Level 1,Partner Organisation,In Progress,2023-01-07,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
103,PRT-102102102102102,111,16-17,Unemployed,Level 1,Self-Referral,In Progress,2023-04-08,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
104,PRT-103103103103103,737,18-19,Unemployed,Level 1,Self-Referral,Completed,2024-04-09,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
105,PRT-104104104104104,280,25+,Economically Inactive,Level 1,Partner Organisation,Completed,2025-07-10,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
106,PRT-105105105105105,1139,16-17,Economically Inactive,Entry Level,Local Authority,Completed,2024-04-11,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
107,PRT-106106106106106,35,18-19,Economically Inactive,No Qualifications,Local Authority,Completed,2024-10-12,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
108,PRT-107107107107107,1060,22-24,Unemployed,Entry Level,Job Centre,Completed,2025-04-13,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
109,PRT-108108108108108,394,25+,Unemployed,Level 2,Local Authority,Completed,2024-01-14,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
110,PRT-109109109109109,434,20-21,Part-time Employed,Entry Level,Self-Referral,Completed,2025-07-15,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
111,PRT-110110110110110,315,25+,Unemployed,Level 1,Self-Referral,In Progress,2024-09-24,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
112,PRT-111111111111111,457,16-17,Unemployed,Level 2,Local Authority,In Progress,2025-03-26,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
113,PRT-112112112112112,860,22-24,Unemployed,Entry Level,Partner Organisation,In Progress,2024-06-26,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
114,PRT-113113113113113,109,20-21,Unemployed,Entry Level,Partner Organisation,Early Leaver,2023-03-28,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
115,PRT-114114114114114,44,22-24,Student,Level 2,Partner Organisation,Completed,2023-03-29,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
116,PRT-115115115115115,812,16-17,Part-time Employed,Level 1,Job Centre,Completed,2024-06-29,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
117,PRT-116116116116116,984,16-17,Unemployed,Level 1,School/College,Completed,2025-03-31,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
118,PRT-117117117117117,1017,16-17,Student,Entry Level,Partner Organisation,Transferred,2024-01-01,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
119,PRT-118118118118118,351,16-17,Unemployed,Level 3+,School/College,Completed,2024-04-02,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
120,PRT-119119119119119,55,16-17,Economically Inactive,Level 1,Self-Referral,Early Leaver,2024-07-03,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
121,PRT-120120120120120,1136,20-21,Unemployed,Level 1,Local Authority,Completed,2023-01-04,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
122,PRT-121121121121121,890,16-17,Unemployed,No Qualifications,Job Centre,Completed,2025-01-05,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
123,PRT-122122122122122,211,20-21,Part-time Employed,Level 1,Local Authority,Completed,2023-01-06,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
124,PRT-123123123123123,315,18-19,Unemployed,Level 2,Self-Referral,Completed,2024-10-07,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
125,PRT-124124124124124,1192,22-24,Economically Inactive,Level 1,Job Centre,Early Leaver,2025-01-08,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
126,PRT-125125125125125,946,20-21,Unemployed,Level 3+,Partner Organisation,Completed,2023-10-09,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
127,PRT-126126126126126,28,16-17,Unemployed,Level 3+,Self-Referral,In Progress,2024-04-10,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
128,PRT-127127127127127,404,18-19,Unemployed,Entry Level,Job Centre,Completed,2023-04-11,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
129,PRT-128128128128128,1103,16-17,Part-time Employed,No Qualifications,Partner Organisation,Completed,2024-07-12,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
130,PRT-129129129129129,1167,18-19,Unemployed,Level 1,Job Centre,In Progress,2025-07-13,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
131,PRT-130130130130130,991,16-17,Economically Inactive,Level 3+,Job Centre,Early Leaver,2024-01-14,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
132,PRT-131131131131131,1112,18-19,Economically Inactive,Level 1,Job Centre,Completed,2025-07-15,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
133,PRT-132132132132132,857,25+,Unemployed,No Qualifications,Partner Organisation,Early Leaver,2023-03-25,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
134,PRT-133133133133133,36,20-21,Unemployed,Level 1,Job Centre,In Progress,2025-03-26,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
135,PRT-134134134134134,410,25+,Student,Level 1,Partner Organisation,In Progress,2023-09-26,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
136,PRT-135135135135135,1198,18-19,Part-time Employed,Level 1,Job Centre,Completed,2024-09-27,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
