skill_id,skill_name,skill_category_id,min_proficiency,max_proficiency,description,created_at,updated_at,is_active,data_source
27,Problem Solving,5,1,5,Analyzing and solving problems,2026-01-06 16:55:47.713097+00:00,2026-01-06 16:55:47.713097+00:00,True,dbldatagen_synthetic
28,Decision Making,5,1,5,Making informed decisions,2026-01-06 16:55:47.713097+00:00,2026-01-06 16:55:47.713097+00:00,True,dbldatagen_synthetic
29,Adaptability,5,1,5,Adapting to change,2026-01-06 16:55:47.713097+00:00,2026-01-06 16:55:47.713097+00:00,True,dbldatagen_synthetic
30,Reliability,5,1,5,Being dependable and punctual,2026-01-06 16:55:47.713097+00:00,2026-01-06 16:55:47.713097+00:00,True,dbldatagen_synthetic
31,CV Writing,6,1,5,Creating effective CVs,2026-01-06 16:55:47.713097+00:00,2026-01-06 16:55:47.713097+00:00,True,dbldatagen_synthetic
32,Job Searching,6,1,5,Finding job opportunities,2026-01-06 16:55:47.713097+00:00,2026-01-06 16:55:47.713097+00:00,True,dbldatagen_synthetic
33,Application Forms,6,1,5,Completing job applications,2026-01-06 16:55:47.713097+00:00,2026-01-06 16:55:47.713097+00:00,True,dbldatagen_synthetic
34,Interview Preparation,6,1,5,Preparing for interviews,2026-01-06 16:55:47.713097+00:00,2026-01-06 16:55:47.713097+00:00,True,dbldatagen_synthetic
35,Interview Performance,6,1,5,Performing well in interviews,2026-01-06 16:55:47.713097+00:00,2026-01-06 16:55:47.713097+00:00,True,dbldatagen_synthetic
36,Workplace Expectations,6,1,5,Understanding employer expectations,2026-01-06 16:55:47.713097+00:00,2026-01-06 16:55:47.713097+00:00,True,dbldatagen_synthetic
37,Professional Appearance,6,1,5,Appropriate workplace presentation,2026-01-06 16:55:47.713097+00:00,2026-01-06 16:55:47.713097+00:00,True,dbldatagen_synthetic
38,Teamwork in Sport,7,1,5,Working as part of a sports team,2026-01-06 16:55:47.713097+00:00,2026-01-06 16:55:47.713097+00:00,True,dbldatagen_synthetic
39,Physical Endurance,7,1,5,Maintaining physical activity,2026-01-06 16:55:47.713097+00:00,2026-01-06 16:55:47.713097+00:00,True,dbldatagen_synthetic
40,Sports Technique,7,1,5,Sport-specific skills,2026-01-06 16:55:47.713097+00:00,2026-01-06 16:55:47.713097+00:00,True,dbldatagen_synthetic
41,Fair Play,7,1,5,Sportsmanship and ethics,2026-01-06 16:55:47.713097+00:00,2026-01-06 16:55:47.713097+00:00,True,dbldatagen_synthetic
42,Health and Safety Awareness,8,1,5,Workplace safety knowledge,2026-01-06 16:55:47.713097+00:00,2026-01-06 16:55:47.713097+00:00,True,dbldatagen_synthetic
43,Customer Service,8,1,5,Serving customers effectively,2026-01-06 16:55:47.713097+00:00,2026-01-06 16:55:47.713097+00:00,True,dbldatagen_synthetic
44,Cash Handling,8,1,5,Managing financial transactions,2026-01-06 16:55:47.713097+00:00,2026-01-06 16:55:47.713097+00:00,True,dbldatagen_synthetic
45,Food Hygiene,8,1,5,Food safety and hygiene practices,2026-01-06 16:55:47.713097+00:00,2026-01-06 16:55:47.713097+00:00,True,dbldatagen_synthetic
