outcome_id,participant_id,outcome_type_id,outcome_date,weeks_from_program_end,sector,hours_per_week,salary_band,employer_type,outcome_source,verified,recorded_by_staff_id,is_sustained_13_weeks,is_sustained_26_weeks,created_at,updated_at,is_active,data_source
3026,5416,9,2024-06-30,1,Customer Service,30,Above Living Wage,Large Employer,Participant Self-Report,True,144,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3027,5177,2,2023-03-23,2,Retail,31,National Minimum Wage,Charity/Non-profit,DWP Confirmation,False,6,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3028,2964,7,2025-01-22,3,Customer Service,32,National Minimum Wage,Charity/Non-profit,Employer Confirmation,True,20,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3029,7776,6,2024-04-17,4,Logistics,33,National Minimum Wage,Large Employer,Participant Self-Report,False,121,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3030,1467,3,2025-11-23,5,Other,34,National Minimum Wage,Public Sector,Partner Referral,True,89,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3031,5226,9,2023-04-24,6,Administration,35,Not Applicable,Public Sector,Participant Self-Report,False,68,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3032,7546,7,2023-05-12,7,Customer Service,36,Living Wage,Large Employer,Partner Referral,True,105,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3033,4214,6,2025-03-01,8,Administration,37,National Minimum Wage,SME,DWP Confirmation,False,6,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3034,2915,8,2025-01-24,9,Construction,38,Living Wage,SME,Participant Self-Report,True,106,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3035,619,2,2024-05-16,10,Hospitality,39,Living Wage,Public Sector,Partner Referral,False,16,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3036,5354,7,2024-03-24,11,Hospitality,40,National Minimum Wage,Charity/Non-profit,Partner Referral,True,122,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3037,3011,5,2025-06-21,12,Customer Service,8,Living Wage,SME,Partner Referral,False,96,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3038,4704,4,2025-02-22,13,Logistics,9,Living Wage,SME,Partner Referral,True,5,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3039,6206,4,2023-07-19,14,Retail,10,Living Wage,SME,DWP Confirmation,False,88,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3040,815,6,2023-11-16,15,Customer Service,11,National Minimum Wage,Public Sector,Employer Confirmation,True,4,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3041,6878,4,2025-09-16,16,Hospitality,12,Not Applicable,Public Sector,Participant Self-Report,False,86,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3042,7969,7,2025-08-26,17,Retail,13,Above Living Wage,Large Employer,Employer Confirmation,True,90,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3043,778,5,2025-11-12,18,Hospitality,14,Not Applicable,Large Employer,Participant Self-Report,False,95,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3044,160,2,2025-12-13,19,Hospitality,15,Living Wage,Large Employer,Participant Self-Report,True,66,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3045,4048,9,2024-02-13,20,Customer Service,16,Living Wage,Large Employer,Employer Confirmation,False,49,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3046,7462,3,2025-11-17,21,Hospitality,17,National Minimum Wage,Large Employer,Participant Self-Report,True,16,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3047,4337,3,2025-08-17,22,Customer Service,18,Above Living Wage,SME,Participant Self-Report,False,48,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3048,5372,6,2024-10-15,23,Construction,19,Living Wage,SME,DWP Confirmation,True,78,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3049,2351,6,2025-04-03,24,Logistics,20,Not Applicable,Public Sector,DWP Confirmation,False,31,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3050,5404,9,2025-07-03,25,Logistics,21,National Minimum Wage,SME,Participant Self-Report,True,22,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3051,700,5,2023-08-28,26,Logistics,22,Living Wage,SME,DWP Confirmation,False,67,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3052,7291,6,2023-05-31,0,Construction,23,Not Applicable,Public Sector,Employer Confirmation,True,149,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3053,6088,4,2025-07-29,1,Hospitality,24,Not Applicable,Charity/Non-profit,DWP Confirmation,False,2,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3054,5720,7,2023-08-23,2,Customer Service,25,National Minimum Wage,Public Sector,Participant Self-Report,True,60,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3055,5243,5,2023-08-11,3,Other,26,Not Applicable,SME,Participant Self-Report,False,21,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3056,3191,6,2025-07-15,4,Hospitality,27,Living Wage,SME,Partner Referral,True,50,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3057,4021,5,2023-12-17,5,Construction,28,Living Wage,Public Sector,Participant Self-Report,False,23,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3058,4976,6,2025-02-07,6,Retail,29,Living Wage,Public Sector,Employer Confirmation,True,113,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3059,4441,6,2024-08-31,7,Logistics,30,National Minimum Wage,SME,Employer Confirmation,False,134,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3060,5352,8,2024-12-08,8,Hospitality,31,Living Wage,SME,Employer Confirmation,True,65,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3061,2227,6,2024-08-29,9,Hospitality,32,National Minimum Wage,Large Employer,Employer Confirmation,False,146,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3062,693,3,2024-05-04,10,Customer Service,33,Living Wage,Large Employer,Partner Referral,True,148,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3063,7886,6,2024-06-08,11,Administration,34,Not Applicable,SME,Employer Confirmation,False,96,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3064,5123,5,2023-06-19,12,Logistics,35,Not Applicable,Self,Participant Self-Report,True,87,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3065,6653,5,2023-07-17,13,Logistics,36,National Minimum Wage,SME,Partner Referral,False,27,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3066,3898,3,2025-07-13,14,Retail,37,Living Wage,Large Employer,Employer Confirmation,True,42,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3067,1089,7,2024-01-17,15,Hospitality,38,Above Living Wage,Public Sector,Employer Confirmation,False,64,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3068,1179,1,2025-07-08,16,Hospitality,39,National Minimum Wage,Large Employer,Participant Self-Report,True,96,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3069,3176,1,2024-07-11,17,Hospitality,40,Above Living Wage,Charity/Non-profit,Partner Referral,False,81,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3070,997,1,2024-08-24,18,Customer Service,8,Living Wage,SME,Participant Self-Report,True,76,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3071,3551,3,2023-07-30,19,Customer Service,9,Not Applicable,Large Employer,Participant Self-Report,False,105,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3072,1366,2,2025-05-29,20,Customer Service,10,Living Wage,Self,Participant Self-Report,True,87,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3073,5811,3,2025-12-15,21,Retail,11,Above Living Wage,SME,Partner Referral,False,55,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3074,4593,8,2023-05-26,22,Customer Service,12,Living Wage,Large Employer,Partner Referral,True,119,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3075,7480,8,2025-02-01,23,Healthcare,13,Not Applicable,SME,Participant Self-Report,False,53,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3076,1887,5,2025-03-10,24,Administration,14,Living Wage,Large Employer,Participant Self-Report,True,47,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3077,2300,5,2023-05-31,25,Logistics,15,Above Living Wage,SME,Partner Referral,False,12,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3078,7210,4,2023-04-07,26,Sport & Leisure,16,Above Living Wage,SME,Employer Confirmation,True,59,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3079,7062,8,2024-02-09,0,Hospitality,17,Not Applicable,Public Sector,Partner Referral,False,5,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3080,707,6,2024-01-06,1,Other,18,National Minimum Wage,SME,Participant Self-Report,True,108,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3081,792,6,2025-09-12,2,Retail,19,Living Wage,SME,Participant Self-Report,False,65,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3082,4176,9,2025-12-18,3,Construction,20,Living Wage,SME,Participant Self-Report,True,99,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3083,6538,4,2024-08-01,4,Retail,21,Not Applicable,SME,Partner Referral,False,53,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3084,3094,5,2023-12-24,5,Hospitality,22,Living Wage,Charity/Non-profit,Partner Referral,True,85,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3085,1883,7,2024-03-24,6,Administration,23,National Minimum Wage,Large Employer,Participant Self-Report,False,18,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3086,1628,6,2023-03-23,7,Construction,24,Not Applicable,Self,Employer Confirmation,True,122,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3087,4270,7,2023-11-28,8,Healthcare,25,National Minimum Wage,Public Sector,Participant Self-Report,False,121,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3088,1035,7,2023-10-17,9,Administration,26,Not Applicable,Charity/Non-profit,Employer Confirmation,True,42,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3089,4521,9,2025-11-17,10,Hospitality,27,Above Living Wage,Public Sector,Employer Confirmation,False,134,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3090,1502,6,2024-02-16,11,Healthcare,28,Living Wage,SME,Employer Confirmation,True,25,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3091,3015,2,2023-08-09,12,Retail,29,Living Wage,SME,Participant Self-Report,False,148,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3092,1716,3,2025-02-03,13,Construction,30,Living Wage,SME,Participant Self-Report,True,7,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3093,7149,2,2023-03-03,14,Retail,31,National Minimum Wage,SME,Participant Self-Report,False,23,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3094,6555,6,2025-06-06,15,Hospitality,32,Not Applicable,SME,Participant Self-Report,True,93,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3095,6256,4,2024-11-10,16,Hospitality,33,National Minimum Wage,Public Sector,Participant Self-Report,False,128,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3096,6410,5,2024-11-17,17,Sport & Leisure,34,Living Wage,SME,Employer Confirmation,True,10,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3097,2798,3,2023-10-18,18,Healthcare,35,Living Wage,SME,Participant Self-Report,False,75,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3098,1467,2,2025-12-29,19,Hospitality,36,National Minimum Wage,SME,DWP Confirmation,True,106,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3099,6769,2,2024-12-27,20,Sport & Leisure,37,Above Living Wage,Large Employer,Participant Self-Report,False,132,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3100,1640,8,2023-10-06,21,Construction,38,Living Wage,SME,Participant Self-Report,True,25,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3101,5971,4,2023-03-09,22,Healthcare,39,National Minimum Wage,Large Employer,Partner Referral,False,41,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3102,5204,6,2024-09-07,23,Retail,40,Living Wage,SME,Partner Referral,True,99,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3103,7689,6,2025-11-29,24,Healthcare,8,Living Wage,Public Sector,Employer Confirmation,False,77,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3104,2158,6,2023-08-13,25,Retail,9,National Minimum Wage,Charity/Non-profit,DWP Confirmation,True,114,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3105,1900,8,2024-10-16,26,Retail,10,Not Applicable,Large Employer,Partner Referral,False,146,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3106,5046,4,2023-08-18,0,Retail,11,Living Wage,Large Employer,DWP Confirmation,True,121,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3107,3392,1,2023-08-20,1,Healthcare,12,Living Wage,SME,Participant Self-Report,False,130,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3108,1694,2,2024-12-17,2,Customer Service,13,Not Applicable,SME,Participant Self-Report,True,36,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3109,4933,4,2024-05-09,3,Customer Service,14,Living Wage,Public Sector,Partner Referral,False,63,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3110,4390,10,2025-06-05,4,Hospitality,15,National Minimum Wage,Public Sector,Participant Self-Report,True,28,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3111,297,1,2024-04-21,5,Hospitality,16,Living Wage,SME,Partner Referral,False,93,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3112,1242,8,2024-05-24,6,Retail,17,Not Applicable,Large Employer,Employer Confirmation,True,114,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3113,7197,8,2025-05-21,7,Customer Service,18,Not Applicable,SME,Partner Referral,False,56,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3114,1896,7,2025-10-12,8,Sport & Leisure,19,Above Living Wage,Self,Employer Confirmation,True,85,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3115,6051,2,2025-02-19,9,Customer Service,20,Living Wage,SME,Participant Self-Report,False,9,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3116,6406,2,2023-12-14,10,Administration,21,Living Wage,Large Employer,Participant Self-Report,True,17,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3117,4372,5,2024-07-13,11,Construction,22,Living Wage,Large Employer,Participant Self-Report,False,142,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3118,3675,7,2023-11-09,12,Hospitality,23,Above Living Wage,SME,DWP Confirmation,True,117,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3119,6422,2,2024-01-01,13,Other,24,Not Applicable,SME,Participant Self-Report,False,65,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3120,6630,4,2024-08-16,14,Healthcare,25,National Minimum Wage,Charity/Non-profit,Employer Confirmation,True,3,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3121,5878,6,2024-07-25,15,Retail,26,Above Living Wage,Large Employer,Participant Self-Report,False,121,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3122,6697,1,2025-05-03,16,Logistics,27,National Minimum Wage,SME,Employer Confirmation,True,121,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3123,2347,8,2024-07-17,17,Hospitality,28,Not Applicable,SME,Employer Confirmation,False,131,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3124,7020,9,2024-04-02,18,Hospitality,29,Not Applicable,Public Sector,Employer Confirmation,True,58,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3125,7222,9,2023-05-13,19,Customer Service,30,National Minimum Wage,Charity/Non-profit,Participant Self-Report,False,133,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3126,5155,7,2025-11-22,20,Sport & Leisure,31,National Minimum Wage,Self,Participant Self-Report,True,38,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3127,668,4,2024-04-20,21,Hospitality,32,Living Wage,SME,Partner Referral,False,145,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3128,7947,9,2024-10-16,22,Administration,33,National Minimum Wage,Large Employer,Participant Self-Report,True,35,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
